Region Name,2 Best Teams,2 Best Teams #,4 Best Teams,4 Best Teams #,6 Best Teams,6 Best Teams #,8 Best Teams,8 Best Teams #,10 Best Teams,10 Best Teams #,All Teams,All Teams #
Central | 2,Diamond 2,23,Diamond 3,22,Diamond 4,21,Diamond 4,21,Platinum 1,20,Platinum 2,19
South-east | 2,Diamond 2,23,Diamond 3,22,Diamond 4,21,Platinum 1,20,Platinum 1,20,Platinum 2,19
North-west | 2,Diamond 2,23,Diamond 3,22,Diamond 4,21,Platinum 1,20,Platinum 2,19,Platinum 3,18
North-east | 4,Diamond 2,23,Diamond 3,22,Diamond 4,21,Platinum 1,20,Platinum 2,19,Platinum 4,17
North | 1,Diamond 3,22,Diamond 4,21,Diamond 4,21,Platinum 1,20,Platinum 1,20,Platinum 3,18
North-east | 2,Diamond 3,22,Diamond 4,21,Diamond 4,21,Platinum 1,20,Platinum 1,20,Platinum 3,18
South-west | 4,Diamond 3,22,Diamond 4,21,Diamond 4,21,Platinum 1,20,Platinum 2,19,Platinum 2,19
South-west | 2,Diamond 3,22,Diamond 4,21,Diamond 4,21,Platinum 1,20,Platinum 2,19,Platinum 3,18
North-east | 7,Diamond 3,22,Diamond 4,21,Diamond 4,21,Platinum 1,20,Platinum 2,19,Platinum 3,18
Central | 1,Diamond 3,22,Diamond 4,21,Diamond 4,21,Platinum 1,20,Platinum 2,19,Platinum 3,18
Central | 4,Diamond 4,21,Diamond 4,21,Diamond 4,21,Platinum 1,20,Platinum 2,19,Platinum 3,18
North-east | 3,Diamond 3,22,Diamond 4,21,Platinum 1,20,Platinum 1,20,Platinum 2,19,Platinum 3,18
North-east | 5,Diamond 3,22,Diamond 4,21,Platinum 1,20,Platinum 1,20,Platinum 2,19,Platinum 3,18
North-east | 1,Diamond 4,21,Platinum 1,20,Platinum 1,20,Platinum 1,20,Platinum 2,19,Platinum 3,18
Central | 6,Diamond 4,21,Diamond 4,21,Platinum 1,20,Platinum 2,19,Platinum 3,18,Platinum 3,18
South-east | 1,Diamond 4,21,Platinum 1,20,Platinum 1,20,Platinum 2,19,Platinum 2,19,Platinum 3,18
South-west | 3,Diamond 4,21,Platinum 1,20,Platinum 1,20,Platinum 2,19,Platinum 2,19,Platinum 3,18
North-east | 6,Diamond 4,21,Platinum 1,20,Platinum 1,20,Platinum 2,19,Platinum 2,19,Platinum 3,18
Central | 5,Diamond 4,21,Platinum 1,20,Platinum 1,20,Platinum 2,19,Platinum 2,19,Platinum 3,18
Central | 3,Diamond 4,21,Platinum 1,20,Platinum 1,20,Platinum 2,19,Platinum 2,19,Platinum 4,17
South-west | 1,Diamond 3,22,Platinum 1,20,Platinum 2,19,Platinum 2,19,Platinum 3,18,Gold 1,16
East,Diamond 4,21,Platinum 1,20,Platinum 2,19,Platinum 2,19,Platinum 2,19,Platinum 4,17
North-west | 1,Platinum 1,20,Platinum 1,20,Platinum 2,19,Platinum 2,19,Platinum 3,18,Platinum 4,17
North-east | 8,Platinum 1,20,Platinum 2,19,Platinum 2,19,Platinum 3,18,Platinum 3,18,Platinum 4,17
