Region Name,All Teams,All Teams #,2 Best Teams,2 Best Teams #,4 Best Teams,4 Best Teams #,6 Best Teams,6 Best Teams #,8 Best Teams,8 Best Teams #,10 Best Teams,10 Best Teams #
North 3,Silver 4,9,Platinum 4,17,Gold 3,14,Silver 2,11,Silver 4,9,Silver 4,9
North 2,Bronze 3,6,Gold 4,13,Silver 4,9,Bronze 2,7,Bronze 3,6,Bronze 3,6
North 1,Bronze 1,8,Gold 4,13,Silver 2,11,Silver 4,9,Bronze 1,8,Bronze 1,8
East 9,Silver 4,9,Gold 2,15,Silver 1,12,Silver 3,10,Silver 4,9,Silver 4,9
East 8,Bronze 1,8,Gold 3,14,Silver 1,12,Silver 3,10,Bronze 1,8,Bronze 1,8
East 7,Silver 3,10,Gold 3,14,Gold 3,14,Silver 1,12,Silver 3,10,Silver 3,10
East 6,Silver 4,9,Gold 3,14,Silver 1,12,Silver 3,10,Silver 4,9,Silver 4,9
East 5,Bronze 3,6,Gold 3,14,Silver 3,10,Bronze 2,7,Bronze 3,6,Bronze 3,6
East 4,Bronze 2,7,Gold 4,13,Silver 2,11,Silver 4,9,Bronze 2,7,Bronze 2,7
East 3,Silver 2,11,Gold 2,15,Gold 2,15,Gold 4,13,Silver 2,11,Silver 2,11
East 2,Bronze 3,6,Gold 4,13,Silver 3,10,Bronze 2,7,Bronze 3,6,Bronze 3,6
East 1,Silver 4,9,Gold 2,15,Gold 3,14,Silver 1,12,Silver 4,9,Silver 4,9
South 4,Silver 4,9,Gold 4,13,Silver 1,12,Silver 2,11,Silver 4,9,Silver 4,9
South 3,Bronze 4,5,Silver 4,9,Bronze 2,7,Bronze 3,6,Bronze 4,5,Bronze 4,5
South 2,Silver 4,9,Gold 3,14,Silver 1,12,Silver 3,10,Silver 4,9,Silver 4,9
South 1,Silver 3,10,Platinum 4,17,Gold 3,14,Silver 1,12,Silver 3,10,Silver 3,10
Midwest 8,Gold 4,13,Platinum 1,20,Platinum 2,19,Platinum 3,18,Platinum 4,17,Gold 1,16
Midwest 6,Silver 3,10,Gold 3,14,Gold 3,14,Silver 1,12,Silver 3,10,Silver 3,10
Midwest 5,Silver 3,10,Gold 3,14,Gold 4,13,Silver 2,11,Silver 3,10,Silver 3,10
Midwest 4,Bronze 1,8,Silver 2,11,Silver 3,10,Silver 4,9,Bronze 1,8,Bronze 1,8
Midwest 3,Silver 1,12,Platinum 1,20,Platinum 4,17,Gold 3,14,Silver 1,12,Silver 1,12
Midwest 2,Silver 1,12,Gold 3,14,Gold 3,14,Gold 4,13,Silver 1,12,Silver 1,12
Midwest 1,Silver 3,10,Gold 3,14,Gold 4,13,Silver 1,12,Silver 3,10,Silver 3,10
West 8,Silver 1,12,Gold 1,16,Gold 3,14,Gold 4,13,Silver 1,12,Silver 1,12
West 7,Silver 1,12,Gold 1,16,Gold 2,15,Gold 4,13,Silver 1,12,Silver 1,12
West 6,Silver 1,12,Platinum 3,18,Gold 1,16,Gold 3,14,Silver 1,12,Silver 1,12
West 5,Silver 4,9,Gold 3,14,Gold 4,13,Silver 2,11,Silver 4,9,Silver 4,9
West 4,Silver 3,10,Platinum 3,18,Gold 2,15,Gold 4,13,Silver 3,10,Silver 3,10
West 3,Silver 2,11,Diamond 3,22,Platinum 4,17,Gold 3,14,Silver 2,11,Silver 2,11
West 2,Silver 3,10,Gold 4,13,Silver 1,12,Silver 2,11,Silver 3,10,Silver 3,10
West 1,Silver 1,12,Gold 1,16,Gold 2,15,Gold 4,13,Silver 1,12,Silver 1,12
